SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496277.5   NPRNTI= 5   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   113     1    3S2 3P1 7G1         (1)4( 4.0)    83809.1 
   114     1    3S2 3P1 7G1         (1)5( 5.0)    83809.1 
   115     1    3S2 3P1 7G1         (3)4(13.0)    83809.1 
   116     1    3S2 3P1 7G1         (3)5(16.0)    83809.1 
   117     1    3S2 3P1 7H1         (3)5(16.0)    83821.3 
   118     1    3S2 3P1 7H1         (3)6(19.0)    83821.3 
   119     1    3S2 3P1 7H1         (1)4( 4.0)    83821.3 
   120     1    3S2 3P1 7H1         (1)6( 6.0)    83821.3 
   121     1    3S2 3P1 7H1         (1)5( 5.0)    83821.3 
   122     1    3S2 3P1 7H1         (3)4(13.0)    83821.3 
   123     1    3S2 3P1 7I1         (1)5( 5.0)    83826.7 
   124     1    3S2 3P1 7I1         (3)7(22.0)    83826.7 
   125     1    3S2 3P1 7I1         (1)6( 6.0)    83826.7 
   126     1    3S2 3P1 7I1         (1)7( 7.0)    83826.7 
   127     1    3S2 3P1 7I1         (3)6(19.0)    83826.7 
   128     1    3S2 3P1 7I1         (3)5(16.0)    83826.7 
   129     1    3S2 3P1 7F1         (3)4(13.0)    83836.7 
   130     1    3S2 3P1 7F1         (1)4( 4.0)    83848.9 
   131     1    3S2 3P1 7F1         (3)2( 7.0)    83853.3 
   132     1    3S2 3P1 7F1         (1)2( 2.0)    83860.2 
   133     1    3S2 3P1 7D1         (1)3( 3.0)    83950.8 
   134     1    3S2 3P1 7D1         (1)1( 1.0)    83954.6 
   135     1    3S2 3P1 8D1         (1)2( 2.0)    84170.6 
   136     1    3S2 3P1 8D1         (3)3(10.0)    84180.1 
   137     1    3S2 3P1 8D1         (3)2( 7.0)    84267.8 
   138     1    3S2 3P1 8D1         (3)1( 4.0)    84272.3 
   139     1    3S2 3P1 8F1         (1)3( 3.0)    84337.3 
   140     1    3S2 3P1 8F1         (3)3(10.0)    84339.5 
   141     1    3S2 3P1 8G1         (3)5(16.0)    84342.3 
   142     1    3S2 3P1 8G1         (1)5( 5.0)    84342.3 
   143     1    3S2 3P1 8G1         (1)4( 4.0)    84342.3 
   144     1    3S2 3P1 8G1         (3)4(13.0)    84342.3 
   145     1    3S2 3P1 8G1         (3)3(10.0)    84342.3 
   146     1    3S2 3P1 8G1         (1)3( 3.0)    84342.3 
   147     1    3S2 3P1 8H1         (3)5(16.0)    84350.4 
   148     1    3S2 3P1 8H1         (1)6( 6.0)    84350.4 
   149     1    3S2 3P1 8H1         (1)5( 5.0)    84350.4 
   150     1    3S2 3P1 8H1         (3)4(13.0)    84350.4 
   151     1    3S2 3P1 8H1         (3)6(19.0)    84350.4 
   152     1    3S2 3P1 8H1         (1)4( 4.0)    84350.4 
   153     1    3S2 3P1 8I1         (1)5( 5.0)    84354.0 
   154     1    3S2 3P1 8I1         (3)5(16.0)    84354.0 
   155     1    3S2 3P1 8I1         (1)6( 6.0)    84354.0 
   156     1    3S2 3P1 8I1         (3)6(19.0)    84354.0 
   157     1    3S2 3P1 8I1         (3)7(22.0)    84354.0 
   158     1    3S2 3P1 8I1         (1)7( 7.0)    84354.0 
   159     1    3S2 3P1 8J1         (3)8(25.0)    84355.9 
   160     1    3S2 3P1 8J1         (1)7( 7.0)    84355.9 
   161     1    3S2 3P1 8J1         (3)7(22.0)    84355.9 
   162     1    3S2 3P1 8J1         (1)8( 8.0)    84355.9 
   163     1    3S2 3P1 8J1         (1)6( 6.0)    84355.9 
   164     1    3S2 3P1 8J1         (3)6(19.0)    84355.9 
   165     1    3S2 3P1 8F1         (3)4(13.0)    84360.5 
   166     1    3S2 3P1 8F1         (1)4( 4.0)    84369.2 
   167     1    3S2 3P1 8F1         (3)2( 7.0)    84371.7 
   168     1    3S2 3P1 8F1         (1)2( 2.0)    84376.7 
   169     1    3S2 3P1 8D1         (1)3( 3.0)    84422.5 
   170     1    3S2 3P1 8D1         (1)1( 1.0)    84425.6 
   171     2    3S1 3P2 4S1         (5)1( 7.0)    98202.3*
   172     2    3S1 3P2 4S1         (3)1( 4.0)   104671.0*
   173     2    3S1 3P2 4P1         (3)0( 1.0)   106807.4*
   174     2    3S1 3P2 4P1         (5)2(12.0)   107791.1*
   175     2    3S1 3P2 4P1         (5)0( 2.0)   108383.8*
   176     2    3S1 3P2 4P1         (5)1( 7.0)   108997.2*
   177     2    3S1 3P2 4P1         (3)2( 7.0)   110205.8*
   178     2    3S1 3P2 4P1         (3)1( 4.0)   111974.7*
   179     2    3S1 3P2 5S1         (5)1( 7.0)   114157.7*
   180     3    3S1 3P2 4S1         (3)2( 7.0)   115532.3*
   181     2    3S1 3P2 5S1         (3)1( 4.0)   115638.0*
   182     2    3S1 3P2 4D1         (5)3(17.0)   116380.5*
   183     2    3S1 3P2 5P1         (3)0( 1.0)   116775.2*
   184     2    3S1 3P2 4D1         (5)2(12.0)   116995.1*
   185     2    3S1 3P2 5P1         (5)2(12.0)   117040.6*
   186     2    3S1 3P2 5P1         (5)0( 2.0)   117253.1*
   187     2    3S1 3P2 5P1         (5)1( 7.0)   117400.4*
   188     2    3S1 3P2 5P1         (3)2( 7.0)   117852.4*
   189     2    3S1 3P2 4D1         (5)1( 7.0)   118249.4*
   190     2    3S1 3P2 4D1         (3)1( 4.0)   118373.2*
   191     2    3S1 3P2 5P1         (3)1( 4.0)   118406.0*
   192     3    3S1 3P2 4S1         (1)2( 2.0)   118618.5*
   193     2    3S1 3P2 4F1         (5)2(12.0)   119048.1*
   194     2    3S1 3P2 4F1         (3)2( 7.0)   119052.0*
   195     2    3S1 3P2 4F1         (5)4(22.0)   119112.0*
   196     2    3S1 3P2 4F1         (3)4(13.0)   119137.2*
   197     2    3S1 3P2 4F1         (5)3(17.0)   119334.1*
   198     2    3S1 3P2 4F1         (3)3(10.0)   119367.3*
   199     2    3S1 3P2 6S1         (5)1( 7.0)   119367.7*
   200     2    3S1 3P2 4D1         (3)3(10.0)   119728.2*
   201     2    3S1 3P2 6S1         (3)1( 4.0)   119955.4*
   202     2    3S1 3P2 5D1         (5)3(17.0)   120391.7*
   203     2    3S1 3P2 6P1         (3)0( 1.0)   120531.2*
   204     2    3S1 3P2 6P1         (5)2(12.0)   120640.2*
   205     2    3S1 3P2 5D1         (5)2(12.0)   120642.6*
   206     2    3S1 3P2 6P1         (5)0( 2.0)   120742.6*
   207     2    3S1 3P2 6P1         (5)1( 7.0)   120796.4*
   208     2    3S1 3P2 6P1         (3)2( 7.0)   121010.8*
   209     2    3S1 3P2 5D1         (5)1( 7.0)   121066.2*
   210     2    3S1 3P2 5D1         (3)1( 4.0)   121168.3*
   211     2    3S1 3P2 6P1         (3)1( 4.0)   121256.2*
   212     2    3S1 3P2 4D1         (3)2( 7.0)   121306.6*
   213     2    3S1 3P2 5F1         (5)2(12.0)   121584.2*
   214     2    3S1 3P2 5F1         (3)2( 7.0)   121587.4*
   215     2    3S1 3P2 5G1         (3)5(16.0)   121591.0*
   216     2    3S1 3P2 5G1         (5)5(27.0)   121591.0*
   217     2    3S1 3P2 5G1         (5)4(22.0)   121591.0*
   218     2    3S1 3P2 5G1         (3)4(13.0)   121591.0*
   219     2    3S1 3P2 5G1         (3)3(10.0)   121591.0*
   220     2    3S1 3P2 5G1         (5)3(17.0)   121591.0*
   221     2    3S1 3P2 5F1         (5)4(22.0)   121612.9*
   222     2    3S1 3P2 5F1         (3)4(13.0)   121633.2*
   223     2    3S1 3P2 5D1         (3)3(10.0)   121724.4*
   224     2    3S1 3P2 5F1         (5)3(17.0)   121726.6*
   225     2    3S1 3P2 5F1         (3)3(10.0)   121753.3*
