SEQ='SI'     NUCCHG=16                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  86978558.0   NPRNTI=10   NPRNTF=12
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   123     2    3S2 3P1 5D1         (3)2( 3.0)   257700.4 
   124     2    3S2 3P1 5D1         (3)3( 4.0)   257819.7 
   125     3    3S1 3P2 4P1         (3)0( 1.0)   258151.3 
   126  9999    3S1 3P2 3D1         (3)2( 1.0)   258377.6 
   127     2    3S2 3P1 5D1         (3)1( 2.0)   258403.7 
   128  9999    3S1 3P2 3D1         (3)2( 2.0)   258404.2 
   129  9999    3S1 3P2 3D1         (3)2( 3.0)   258554.9 
   130     2    3S2 3P1 5D1         (3)1( 1.0)   258571.4 
   131     2    3S2 3P1 5D1         (3)1( 0.0)   258679.3 
   132  9999    3S1 3P2 3D1         (3)3( 2.0)   258712.0 
   133  9999    3S1 3P2 3D1         (3)3( 3.0)   258937.9 
   134  9999    3S1 3P2 3D1         (3)3( 4.0)   259151.9 
   135     2    3S2 3P1 5D1         (1)3( 3.0)   259156.2 
   136     1    3S2 3P1 6S1         (3)1( 0.0)   259277.0 
   137     1    3S2 3P1 6S1         (3)1( 1.0)   259402.6 
   138     3    3S1 3P2 4P1         (5)2( 0.0)   259513.2 
   139  9999    3S1 3P2 3D1         (1)1( 1.0)   259581.0 
   140     3    3S1 3P2 4P1         (5)2( 1.0)   259596.3 
   141     2    3S2 3P1 5D1         (1)1( 1.0)   259696.5 
   142     3    3S1 3P2 4P1         (5)2( 2.0)   259763.0 
   143     4    3S1 3P2 4P1         (5)2( 3.0)   260015.3 
   144     2    3S2 3P1 6S1         (3)1( 2.0)   260067.4 
   145     5    3S1 3P2 4P1         (5)2( 4.0)   260354.6 
   146     2    3S2 3P1 6S1         (1)1( 1.0)   260547.7 
   147     6    3S1 3P2 4S1         (3)2( 1.0)   261026.4 
   148     6    3S1 3P2 4S1         (3)2( 2.0)   261034.7 
   149     7    3S1 3P2 4S1         (3)2( 3.0)   261045.5 
   150     1    3S2 3P1 5F1         (1)3( 3.0)   262379.0 
   151     4    3S1 3P2 4P1         (5)0( 2.0)   262433.4 
   152     4    3S1 3P2 4P1         (5)1( 1.0)   262618.7 
   153     1    3S2 3P1 5F1         (3)3( 3.0)   262629.6 
   154     1    3S2 3P1 5F1         (3)3( 2.0)   262690.1 
   155     1    3S2 3P1 5F1         (3)3( 4.0)   262725.2 
   156  9999    3S1 3P2 3D1         (3)1( 0.0)   262802.3 
   157  9999    3S1 3P2 3D1         (3)1( 1.0)   262878.8 
   158     4    3S1 3P2 4P1         (5)1( 2.0)   262901.1 
   159     5    3S1 3P2 4P1         (5)1( 3.0)   263020.9 
   160  9999    3S1 3P2 3D1         (3)1( 2.0)   263034.0 
   161     1    3S2 3P1 5G1         (1)*( 3.0)   263200.0 
   162     1    3S2 3P1 5G1         (1)*( 4.0)   263200.0 
   163     1    3S2 3P1 5G1         (1)*( 4.0)   263200.0 
   164     1    3S2 3P1 5G1         (1)*( 5.0)   263200.0 
   165     2    3S2 3P1 5F1         (3)4( 3.0)   263216.5 
   166     2    3S2 3P1 5F1         (3)4( 4.0)   263351.4 
   167     2    3S2 3P1 5F1         (3)4( 5.0)   263536.9 
   168     2    3S2 3P1 5F1         (3)2( 3.0)   263927.5 
   169     2    3S2 3P1 5G1         (1)*( 2.0)   263990.5 
   170     2    3S2 3P1 5G1         (1)*( 3.0)   263990.5 
   171     2    3S2 3P1 5G1         (1)*( 4.0)   263990.5 
   172     2    3S2 3P1 5G1         (1)*( 5.0)   263990.5 
   173     2    3S2 3P1 5G1         (1)*( 3.0)   263990.5 
   174     2    3S2 3P1 5G1         (1)*( 4.0)   263990.5 
   175     2    3S2 3P1 5G1         (1)*( 5.0)   263990.5 
   176     2    3S2 3P1 5G1         (1)*( 6.0)   263990.5 
   177     2    3S2 3P1 5F1         (3)2( 2.0)   264082.1 
   178     1    3S2 3P1 6P1         (1)1( 1.0)   264087.8 
   179     2    3S2 3P1 5F1         (3)2( 1.0)   264242.7 
   180     1    3S2 3P1 6P1         (3)2( 1.0)   264445.3 
   181     1    3S2 3P1 6P1         (3)2( 2.0)   264536.5 
   182     2    3S2 3P1 5F1         (1)4( 4.0)   264674.9 
   183     1    3S2 3P1 6P1         (3)1( 0.0)   264718.5 
   184     2    3S2 3P1 5F1         (1)2( 2.0)   264846.2 
   185     2    3S2 3P1 6P1         (3)1( 1.0)   265007.8 
   186     2    3S2 3P1 6P1         (3)2( 3.0)   265126.6 
   187     2    3S2 3P1 6P1         (3)1( 2.0)   265268.6 
   188  9999    3S1 3P2 3D1         (3)0( 1.0)   265445.5 
   189     2    3S2 3P1 6P1         (3)0( 1.0)   265661.4 
   190     2    3S2 3P1 6P1         (1)2( 2.0)   266027.1 
   191     4    3S1 3P2 4P1         (3)2( 1.0)   266363.7 
   192     5    3S1 3P2 4P1         (3)2( 2.0)   266576.0 
   193     5    3S1 3P2 4P1         (3)2( 3.0)   266905.3 
   194     2    3S2 3P1 6P1         (1)0( 0.0)   267423.5 
   195     7    3S1 3P2 4S1         (1)2( 2.0)   267820.6 
   196  9999    3S1 3P2 3D1         (3)2( 1.0)   269612.8 
   197  9999    3S1 3P2 3D1         (3)2( 2.0)   269786.1 
   198  9999    3S1 3P2 3D1         (3)2( 3.0)   270090.4 
   199     4    3S1 3P2 4P1         (3)1( 0.0)   270897.3 
   200     5    3S1 3P2 4P1         (3)1( 1.0)   270986.0 
   201     5    3S1 3P2 4P1         (3)1( 2.0)   271138.3 
   202     1    3S2 3P1 6D1         (1)2( 2.0)   271854.2 
   203     1    3S2 3P1 6D1         (3)2( 2.0)   272013.4 
   204     1    3S2 3P1 6D1         (3)3( 3.0)   272097.9 
   205     1    3S2 3P1 6D1         (3)2( 1.0)   272110.7 
   206     2    3S2 3P1 6D1         (3)3( 2.0)   272592.9 
   207     2    3S2 3P1 6D1         (3)2( 3.0)   272707.8 
   208     2    3S2 3P1 6D1         (3)3( 4.0)   272798.5 
   209     2    3S2 3P1 6D1         (3)1( 2.0)   273021.9 
   210     2    3S2 3P1 6D1         (3)1( 1.0)   273138.1 
   211     2    3S2 3P1 6D1         (3)1( 0.0)   273229.7 
   212     1    3S2 3P1 7S1         (3)1( 0.0)   273249.2 
   213     1    3S2 3P1 7S1         (3)1( 1.0)   273332.0 
   214     2    3S2 3P1 6D1         (1)3( 3.0)   273393.1 
   215     2    3S2 3P1 6D1         (1)1( 1.0)   273681.2 
   216     2    3S2 3P1 7S1         (3)1( 2.0)   274039.6 
   217     2    3S2 3P1 7S1         (1)1( 1.0)   274281.1 
   218  9999    3S1 3P2 3D1         (3)3( 2.0)   274499.0 
   219  9999    3S1 3P2 3D1         (3)3( 3.0)   274569.8 
   220  9999    3S1 3P2 3D1         (3)3( 4.0)   274658.0 
   221     1    3S2 3P1 6F1         (1)3( 3.0)   274968.5 
   222     1    3S2 3P1 6F1         (3)3( 3.0)   275106.0 
   223     1    3S2 3P1 6F1         (3)4( 4.0)   275177.5 
   224  9999    3S1 3P2 3D1         (1)2( 2.0)   275189.7 
   225     1    3S2 3P1 6F1         (3)3( 2.0)   275195.3 
   226     1    3S2 3P1 6G1         (1)*( 3.0)   275436.2 
   227     1    3S2 3P1 6G1         (1)*( 4.0)   275436.2 
   228     1    3S2 3P1 6G1         (1)*( 4.0)   275436.2 
   229     1    3S2 3P1 6G1         (1)*( 5.0)   275436.2 
   230     1    3S2 3P1 6H1         (1)*( 4.0)   275546.0 
   231     1    3S2 3P1 6H1         (1)*( 5.0)   275546.0 
   232     1    3S2 3P1 6H1         (1)*( 5.0)   275546.0 
   233     1    3S2 3P1 6H1         (1)*( 6.0)   275546.0 
   234     2    3S2 3P1 6F1         (3)4( 3.0)   275699.9 
   235     2    3S2 3P1 6F1         (3)3( 4.0)   275792.2 
   236     2    3S2 3P1 6F1         (3)4( 5.0)   275892.7 
   237     1    3S2 3P1 7P1         (1)1( 1.0)   276039.5 
   238     2    3S2 3P1 6F1         (3)2( 3.0)   276065.0 
   239     2    3S2 3P1 6F1         (3)2( 2.0)   276171.9 
   240     2    3S2 3P1 6G1         (1)*( 2.0)   276226.7 
   241     2    3S2 3P1 6G1         (1)*( 3.0)   276226.7 
   242     2    3S2 3P1 6G1         (1)*( 4.0)   276226.7 
   243     2    3S2 3P1 6G1         (1)*( 5.0)   276226.7 
   244     2    3S2 3P1 6G1         (1)*( 3.0)   276226.7 
   245     2    3S2 3P1 6G1         (1)*( 4.0)   276226.7 
   246     2    3S2 3P1 6G1         (1)*( 5.0)   276226.7 
   247     2    3S2 3P1 6G1         (1)*( 6.0)   276226.7 
   248     1    3S2 3P1 7P1         (3)1( 1.0)   276236.9 
   249     1    3S2 3P1 7P1         (3)2( 2.0)   276293.6 
   250     2    3S2 3P1 6F1         (3)2( 1.0)   276303.0 
   251     2    3S2 3P1 6H1         (1)*( 3.0)   276336.5 
   252     2    3S2 3P1 6H1         (1)*( 4.0)   276336.5 
   253     2    3S2 3P1 6H1         (1)*( 5.0)   276336.5 
   254     2    3S2 3P1 6H1         (1)*( 6.0)   276336.5 
   255     2    3S2 3P1 6H1         (1)*( 4.0)   276336.5 
   256     2    3S2 3P1 6H1         (1)*( 5.0)   276336.5 
   257     2    3S2 3P1 6H1         (1)*( 6.0)   276336.5 
   258     2    3S2 3P1 6H1         (1)*( 7.0)   276336.5 
   259     1    3S2 3P1 7P1         (3)1( 0.0)   276416.1 
   260     2    3S2 3P1 6F1         (1)4( 4.0)   276555.0 
