SEQ='SI'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 114331065.6   NPRNTI= 5   NPRNTF=21
   --------------------
   INDP         CODE                 S L   WI        WNP
   104     3    3S1 3P2 4P1         (3)1( 4.0)   499973.2 
   105     1    3S2 3P1 5D1         (3)1( 4.0)   500637.9 
   106     1    3S2 3P1 5D1         (1)3( 3.0)   501167.1 
   107     3    3S1 3P2 4P1         (1)1( 1.0)   501645.4 
   108     5    3S1 3P2 4S1         (1)1( 1.0)   502080.3 
   109     1    3S2 3P1 5D1         (1)1( 1.0)   502286.3 
   110  9999    3P3 3D1             (3)3(10.0)   502585.4 
   111  9999    3P3 3D1             (3)1( 4.0)   502945.8 
   112     1    3S2 3P1 5F1         (1)3( 3.0)   509846.8 
   113     1    3S2 3P1 5F1         (3)3(10.0)   510729.1 
   114     1    3S2 3P1 5F1         (3)4(13.0)   511162.5 
   115     1    3S2 3P1 5F1         (3)2( 7.0)   512810.0 
   116     1    3S2 3P1 5G1         (3)5(16.0)   513735.7 
   117     1    3S2 3P1 5G1         (1)5( 5.0)   513735.7 
   118     1    3S2 3P1 5G1         (1)4( 4.0)   513735.7 
   119     1    3S2 3P1 5G1         (3)3(10.0)   513735.7 
   120     1    3S2 3P1 5G1         (3)4(13.0)   513735.7 
   121     1    3S2 3P1 5G1         (1)3( 3.0)   513735.7 
   122  9999    3S2 3D2             (1)0( 0.0)   514478.3 
   123     1    3S2 3P1 5F1         (1)4( 4.0)   514689.4 
   124     1    3S2 3P1 5F1         (1)2( 2.0)   514917.0 
   125     2    3S1 3P2 4D1         (5)3(17.0)   515161.4 
   126     2    3S1 3P2 4D1         (5)1( 7.0)   515219.0 
   127     1    3S2 3P1 6S1         (3)1( 4.0)   515790.1 
   128     1    3S2 3P1 6S1         (1)1( 1.0)   516671.1 
   129     2    3S1 3P2 4D1         (3)1( 4.0)   516728.6 
   130     2    3S1 3P2 4D1         (5)2(12.0)   519397.4 
   131  9999    3S1 3P1 3D2         (5)2(12.0)   520487.5 
   132     2    3S1 3P2 4D1         (3)3(10.0)   520656.4 
   133  9999    3P3 3D1             (1)3( 3.0)   522153.0 
   134     1    3S2 3P1 6P1         (1)1( 1.0)   524358.5 
   135     1    3S2 3P1 6P1         (3)2( 7.0)   525250.4 
   136     1    3S2 3P1 6P1         (3)1( 4.0)   525571.8 
   137     1    3S2 3P1 6P1         (3)0( 1.0)   526419.5 
   138     2    3S1 3P2 4D1         (3)2( 7.0)   526664.1 
   139     1    3S2 3P1 6P1         (1)2( 2.0)   527033.1 
   140     4    3S1 3P2 4P1         (3)1( 4.0)   527040.2 
   141  9999    3S1 3P1 3D2         (5)1( 7.0)   528818.2 
   142     1    3S2 3P1 6P1         (1)0( 0.0)   529413.1 
   143     5    3S1 3P2 4P1         (1)0( 0.0)   529805.0 
   144     4    3S1 3P2 4P1         (1)1( 1.0)   531328.3 
   145  9999    3P3 3D1             (1)3( 3.0)   532624.8 
   146  9999    3P3 3D1             (3)2( 7.0)   536766.6 
   147  9999    3P3 3D1             (1)2( 2.0)   537274.5 
   148     5    3S1 3P2 4P1         (3)2( 7.0)   538060.0 
   149     1    3S2 3P1 6D1         (1)2( 2.0)   538713.7 
   150     1    3S2 3P1 6D1         (3)2( 7.0)   539019.3 
   151     1    3S2 3P1 6D1         (3)3(10.0)   539546.0 
   152     1    3S2 3P1 6D1         (3)1( 4.0)   540222.2 
   153     1    3S2 3P1 6D1         (1)3( 3.0)   540462.8 
   154     1    3S2 3P1 6D1         (1)1( 1.0)   541064.6 
   155  9999    3S1 3P1 3D2         (5)2(12.0)   541550.5 
   156     5    3S1 3P2 4P1         (3)1( 4.0)   541743.5 
   157     2    3S1 3P2 4F1         (5)4(22.0)   542071.7 
   158  9999    3S1 3P1 3D2         (3)3(10.0)   542152.9 
   159     5    3S1 3P2 4P1         (3)0( 1.0)   542182.8 
   160     2    3S1 3P2 4F1         (5)2(12.0)   543239.6 
   161     2    3S1 3P2 4F1         (3)2( 7.0)   544792.5 
   162     1    3S2 3P1 6F1         (1)3( 3.0)   545308.8 
   163     5    3S1 3P2 4P1         (1)2( 2.0)   545721.5 
   164     1    3S2 3P1 6F1         (3)3(10.0)   545807.3 
   165     1    3S2 3P1 6F1         (3)4(13.0)   545995.5 
   166     1    3S2 3P1 6F1         (3)2( 7.0)   546899.3 
   167     2    3S1 3P2 4F1         (5)3(17.0)   546941.4 
   168     6    3S2 3D1 4S1         (3)2( 7.0)   546988.1 
   169     1    3S2 3P1 6G1         (3)4(13.0)   547623.3 
   170     1    3S2 3P1 6G1         (3)5(16.0)   547623.3 
   171     1    3S2 3P1 6G1         (3)3(10.0)   547623.3 
   172     1    3S2 3P1 6G1         (1)3( 3.0)   547623.3 
   173     1    3S2 3P1 6G1         (1)4( 4.0)   547623.3 
   174     1    3S2 3P1 6G1         (1)5( 5.0)   547623.3 
   175     2    3S1 3P2 4F1         (3)4(13.0)   547828.8 
   176     1    3S2 3P1 6H1         (1)5( 5.0)   547860.7 
   177     1    3S2 3P1 6H1         (3)4(13.0)   547860.7 
   178     1    3S2 3P1 6H1         (3)5(16.0)   547860.7 
   179     1    3S2 3P1 6H1         (3)6(19.0)   547860.7 
   180     1    3S2 3P1 6H1         (1)4( 4.0)   547860.7 
   181     1    3S2 3P1 6H1         (1)6( 6.0)   547860.7 
   182     1    3S2 3P1 6F1         (1)4( 4.0)   547985.4 
   183     1    3S2 3P1 6F1         (1)2( 2.0)   548100.5 
   184     3    3S1 3P2 4D1         (3)3(10.0)   548578.7 
   185     3    3S1 3P2 4D1         (3)2( 7.0)   548833.2 
   186     1    3S2 3P1 7S1         (3)1( 4.0)   548918.1 
   187     3    3S1 3P2 4D1         (1)3( 3.0)   549068.3 
   188     1    3S2 3P1 7S1         (1)1( 1.0)   549402.2 
   189  9999    3S1 3P1 3D2         (3)2( 7.0)   550929.4 
   190     3    3S1 3P2 4D1         (3)4(13.0)   551144.4 
   191     2    3S1 3P2 5S1         (5)1( 7.0)   551161.9 
   192     6    3S2 3D1 4S1         (1)2( 2.0)   551603.1 
   193     5    3S1 3P2 4P1         (1)1( 1.0)   552823.6 
   194     3    3S1 3P2 4D1         (1)2( 2.0)   553502.0 
   195     1    3S2 3P1 7P1         (1)1( 1.0)   553972.4 
   196     1    3S2 3P1 7P1         (3)2( 7.0)   554482.6 
   197     1    3S2 3P1 7P1         (3)1( 4.0)   554647.2 
   198     2    3S1 3P2 4F1         (3)3(10.0)   554770.5 
   199     1    3S2 3P1 7P1         (3)0( 1.0)   555152.7 
   200     1    3S2 3P1 7P1         (1)2( 2.0)   555481.3 
   201     3    3S1 3P2 4D1         (1)4( 4.0)   555919.6 
   202     3    3S1 3P2 4D1         (1)1( 1.0)   556004.7 
   203     3    3S1 3P2 4D1         (3)1( 4.0)   556023.3 
   204     2    3S1 3P2 5S1         (3)1( 4.0)   556187.2 
   205     1    3S2 3P1 7P1         (1)0( 0.0)   556838.1 
   206     3    3S1 3P2 4D1         (3)0( 1.0)   557136.2 
   207  9999    3S1 3P1 3D2         (5)0( 2.0)   560199.9 
   208  9999    3S1 3P1 3D2         (3)0( 1.0)   561094.6 
   209     1    3S2 3P1 7D1         (1)2( 2.0)   562535.9 
   210     1    3S2 3P1 7D1         (3)2( 7.0)   562711.1 
   211     3    3S1 3P2 4D1         (1)0( 0.0)   562747.8 
   212     1    3S2 3P1 7D1         (3)3(10.0)   563031.7 
   213     1    3S2 3P1 7D1         (3)1( 4.0)   563428.4 
   214     1    3S2 3P1 7D1         (1)3( 3.0)   563563.2 
   215     1    3S2 3P1 7D1         (1)1( 1.0)   563923.1 
   216     1    3S2 3P1 7F1         (1)3( 3.0)   566548.1 
   217     1    3S2 3P1 7F1         (3)3(10.0)   566854.3 
   218     1    3S2 3P1 7F1         (3)4(13.0)   566956.1 
   219     1    3S2 3P1 7F1         (3)2( 7.0)   567504.0 
   220     2    3S1 3P2 5P1         (3)0( 1.0)   567806.6 
   221     1    3S2 3P1 7G1         (1)4( 4.0)   568022.7 
   222     1    3S2 3P1 7G1         (3)5(16.0)   568022.7 
   223     1    3S2 3P1 7G1         (1)3( 3.0)   568022.7 
   224     1    3S2 3P1 7G1         (3)4(13.0)   568022.7 
   225     1    3S2 3P1 7G1         (1)5( 5.0)   568022.7 
   226     1    3S2 3P1 7G1         (3)3(10.0)   568022.7 
   227     1    3S2 3P1 7H1         (3)5(16.0)   568172.0 
   228     1    3S2 3P1 7H1         (1)4( 4.0)   568172.0 
   229     1    3S2 3P1 7H1         (3)6(19.0)   568172.0 
   230     1    3S2 3P1 7H1         (1)5( 5.0)   568172.0 
   231     1    3S2 3P1 7H1         (3)4(13.0)   568172.0 
   232     1    3S2 3P1 7H1         (1)6( 6.0)   568172.0 
   233     1    3S2 3P1 7F1         (1)4( 4.0)   568177.9 
   234     1    3S2 3P1 7I1         (3)5(16.0)   568238.5 
   235     1    3S2 3P1 7I1         (3)6(19.0)   568238.5 
   236     1    3S2 3P1 7I1         (3)7(22.0)   568238.5 
