       37250         179         179           8           8         120          13  0.22876500000000000                0
       37251         180         180           8           8         140           5  0.22876500000000000                0
       37252         181         181           8           8         340           5  0.22876500000000000                0
       37253         182         182           8           8         130          11  0.22876500000000000                0
       37254         183         183           8           8         320          12  0.22876500000000000                0
       37255         184         184           8           8         311           8  0.22881699999999999                0
       37256         185         185           8           8         320          13  0.22960900000000001                0
       37257         186         186           8           8         110          13  0.22961500000000001                0
       37258         187         187           8           8         130          12  0.22971200000000000                0
       37259         188         188           8           8         120          14  0.23025200000000001                0
       37260         189         189           8           8         121          14  0.23161100000000001                0
       37261         190         190           8           8         111           8  0.23194600000000001                0
       37262         191         191           8           8         331           7  0.23197200000000001                0
       37263         192         192           8           8         101           7  0.23197400000000001                0
       37264         193         193           8           8         141           7  0.23199100000000000                0
       37265         194         194           8           8         121          15  0.23203099999999999                0
       37266         195         195           8           8         131           7  0.23204200000000000                0
       37267         196         196           8           8         110          14  0.23204500000000000                0
       37268         197         197           8           8         150           6  0.23204500000000000                0
       37269         198         198           8           8         120          15  0.23204500000000000                0
       37270         199         199           8           8         140           6  0.23204500000000000                0
       37271         200         200           8           8         340           6  0.23204500000000000                0
       37272         201         201           8           8         130          13  0.23204500000000000                0
       37273         202         202           8           8         320          14  0.23204500000000000                0
       37274         203         203           8           8         311           9  0.23205899999999999                0
       37275         204         204           8           8         320          15  0.23264099999999999                0
       37276         205         205           8           8         110          15  0.23264299999999999                0
       37277         206         206           8           8         130          14  0.23271500000000001                0
       37278         207         207           8           8         120          16  0.23309800000000000                0
       37279         208         208           8           8         121          16  0.23407500000000001                0
       37280         209         209           8           8         111           9  0.23431500000000000                0
       37281         210         210           8           8         331           8  0.23433699999999999                0
       37282         211         211           8           8         101           8  0.23433899999999999                0
       37283         212         212           8           8         141           8  0.23435100000000000                0
       37284         213         213           8           8         311          10  0.23438300000000001                0
       37285         214         214           8           8         120          17  0.23439099999999999                0
       37286         215         215           8           8         320          16  0.23439099999999999                0
       37287         216         216           8           8         110          16  0.23439099999999999                0
       37288         217         217           8           8         300           2  0.27149499999999999                0
       37289         218         218           8           8         100           3  0.28405700000000000                0
       37290         219         219           8           8         300           3  0.31242999999999999                0
       37291         220         220           8           8         100           4  0.31817099999999998                0
       37292         221         221           8           8         300           4  0.33202100000000001                0
       37293         222         222           8           8         100           5  0.33511000000000002                0
       37294         223         223           8           8         300           5  0.34291199999999999                0
       37295         224         224           8           8         100           6  0.34476099999999998                0
       37296         225         225           8           8         300           6  0.34959000000000001                0
       37297         226         226           8           8         100           7  0.35078300000000001                0
       37298         227         227           8           8         300           7  0.35397800000000001                0
       37299         228         228           8           8         100           8  0.35479300000000003                0
       37300         229         229           8           8         300           8  0.35701699999999997                0
       37301         230         230           8           8         100           9  0.35759700000000000                0
       37302         231         231           8           8         511           1  0.87927900000000003                0
       37303         232         232           8           8         520           1  0.97972599999999999                0
       37304         233         233           8           8         511           2  0.99440700000000004                0
       37305         234         234           8           8         520           2   1.0292699999999999                0
       37306         235         235           8           8         531           1   1.0302800000000001                0
       37307         236         236           8           8         511           3   1.0360000000000000                0
       37308         237         237           8           8         520           3   1.0522300000000000                0
       37309         238         238           8           8         531           2   1.0527899999999999                0
       37310         239         239           8           8         511           4   1.0558200000000000                0
       37311         240         240           8           8         520           4   1.0646899999999999                0
       37312         241         241           8           8         531           3   1.0650200000000001                0
       37313         242         242           8           8         511           5   1.0668100000000000                0
       37314         243         243           8           8         520           5   1.0721799999999999                0
       37315         244         244           8           8         531           4   1.0724000000000000                0
       37316         245         245           8           8         511           6   1.0735399999999999                0
       37317         246         246           8           8         520           6   1.0770400000000000                0
       37318         247         247           8           8         531           5   1.0771800000000000                0
       37319         248         248           8           8         511           7   1.0779500000000000                0
       37320         249         249           8           8         520           7   1.0803600000000000                0
       37321         250         250           8           8         531           6   1.0804600000000000                0
       37322         251         251           8           8         511           8   1.0810100000000000                0
       37323         252         252           8           8         520           8   1.0827400000000000                0
       37324         253         253           8           8         531           7   1.0828100000000001                0
