Total line luminosity    2.481E+36
    Fe II       12977.86   6.018E+29   1.704E-06
    Fe II       46707.79   5.919E+29   1.676E-06
    Fe III       4777.73   5.888E+29   1.667E-06
    Fe III       5412.03   5.794E+29   1.641E-06
    Fe III       4930.59   5.784E+29   1.638E-06
    Fe II        8617.04   5.652E+29   1.600E-06
    Fe V         8962.46   5.301E+29   1.501E-06
    Fe II       17111.44   4.986E+29   1.412E-06
    S  II        1250.60   4.959E+29   1.404E-06
    Ne V         3346.78   4.588E+29   1.299E-06
    S  IV        1062.67   4.575E+29   1.296E-06
    Fe III       4607.07   4.492E+29   1.272E-06
    Fe II       17449.52   4.470E+29   1.266E-06
    O  III       2332.12   4.285E+29   1.213E-06
    O  V         6488.00   4.231E+29   1.198E-06
    Si I         6526.78   4.138E+29   1.172E-06
    Fe IV        2567.43   4.077E+29   1.154E-06
    Fe III       4667.06   3.387E+29   9.590E-07
    N  II        6559.79   3.299E+29   9.342E-07
    Fe II       12521.50   3.278E+29   9.282E-07
    Fe IV        6739.88   3.273E+29   9.268E-07
    Fe III      22420.65   3.262E+29   9.236E-07
    Fe III      22178.42   3.238E+29   9.168E-07
    Fe V         4900.02   3.174E+29   8.986E-07
    Fe III       5084.82   3.087E+29   8.740E-07
    Fe IV       28644.94   3.067E+29   8.684E-07
    Fe V        28644.94   2.985E+29   8.452E-07
    Fe V         7222.84   2.951E+29   8.355E-07
    Fe VI       15443.05   2.765E+29   7.829E-07
    Fe VII      33859.55   2.591E+29   7.336E-07
    Fe V        27443.44   2.450E+29   6.937E-07
    Fe III       3239.77   2.388E+29   6.760E-07
    S  II        1550.15   2.311E+29   6.545E-07
    Fe IV        2577.94   2.189E+29   6.198E-07
    Fe III      23479.03   2.147E+29   6.078E-07
    Fe V         7533.79   2.110E+29   5.975E-07
    Fe V         5756.54   2.078E+29   5.883E-07
    Fe II        8892.00   1.987E+29   5.625E-07
    Fe II        7155.05   1.943E+29   5.501E-07
    Fe IV       28055.71   1.919E+29   5.433E-07
    Fe V         4206.64   1.908E+29   5.403E-07
    Ar V         6135.38   1.729E+29   4.896E-07
    Fe IV        4906.61   1.722E+29   4.875E-07
    Si I         3020.00   1.706E+29   4.829E-07
    Fe IV       27157.17   1.698E+29   4.808E-07
    Fe II      228961.97   1.650E+29   4.671E-07
    Fe V         1892.63   1.625E+29   4.600E-07
    Fe III       4008.38   1.608E+29   4.553E-07
    Fe V        28055.71   1.571E+29   4.449E-07
    S  II        1541.51   1.519E+29   4.301E-07
    Fe V         4869.06   1.503E+29   4.255E-07
    Fe V         4888.68   1.437E+29   4.069E-07
    Ar V         2786.82   1.366E+29   3.868E-07
    Fe V         2567.63   1.365E+29   3.866E-07
    Fe II        9052.04   1.335E+29   3.779E-07
    Ca II        7305.00   1.289E+29   3.650E-07
    S  II        1805.36   1.247E+29   3.530E-07
    Fe II        7637.61   1.189E+29   3.368E-07
    Fe III       3322.57   1.177E+29   3.332E-07
    Fe III       9701.37   1.133E+29   3.207E-07
    Fe II        9226.71   1.118E+29   3.164E-07
    S  II        1540.75   1.103E+29   3.124E-07
    Fe IV       27732.73   1.092E+29   3.091E-07
    Fe IV        3094.99   1.074E+29   3.040E-07
    Fe IV        5233.81   1.064E+29   3.011E-07
    Fe I        14429.79   1.063E+29   3.011E-07
    Fe IV        6761.45   1.032E+29   2.924E-07
    Si I         2524.11   1.030E+29   2.917E-07
    Fe III       3334.93   1.014E+29   2.872E-07
    Fe III      21451.28   9.778E+28   2.769E-07
    Fe V        28333.20   9.525E+28   2.697E-07
    Mg I         4572.00   9.516E+28   2.695E-07
    Fe V         4198.28   8.700E+28   2.464E-07
    Fe III       3371.45   8.667E+28   2.454E-07
    Fe III       3356.60   8.653E+28   2.450E-07
    C  II        2326.00   8.641E+28   2.447E-07
    Fe IV        4903.12   8.515E+28   2.411E-07
    Fe II        9267.65   8.141E+28   2.305E-07
    Fe IV        4900.02   8.136E+28   2.304E-07
    Fe III       2438.32   7.773E+28   2.201E-07
    Si I         2506.90   7.421E+28   2.101E-07
    Fe IV        6997.17   7.280E+28   2.061E-07
    Fe III       9942.28   7.236E+28   2.049E-07
    Si I         2516.11   7.197E+28   2.038E-07
    Fe II        7172.06   7.165E+28   2.029E-07
    Fe II        7687.01   7.081E+28   2.005E-07
    Fe III       3286.22   6.747E+28   1.910E-07
    Ca V         3999.01   6.632E+28   1.878E-07
    Fe II        5158.84   6.512E+28   1.844E-07
    Fe III      24521.98   6.331E+28   1.793E-07
    Fe II        9033.58   6.313E+28   1.787E-07
    Fe IV        4868.21   6.249E+28   1.769E-07
    Si I         2881.58   6.177E+28   1.749E-07
    Fe II        7452.42   6.094E+28   1.726E-07
    Fe III       3355.52   5.936E+28   1.681E-07
    Si I         3006.74   5.713E+28   1.618E-07
    Fe IV        7222.84   5.665E+28   1.604E-07
    Fe IV        4144.24   5.614E+28   1.590E-07
    Fe III       2464.54   5.590E+28   1.583E-07
    Fe IV        4206.64   5.564E+28   1.576E-07
    Fe IV        4868.00   5.438E+28   1.540E-07
    Si I         2514.31   5.366E+28   1.519E-07
    Fe IV        4918.02   5.339E+28   1.512E-07
